顧客名簿,,,,,,
,,,,,,
得意先ｺｰﾄﾞ,得意先名称１,郵便番号,住所１,住所２,住所３,電話番号
60,エヌ・エフ・テー技研㈱,535-0004,大阪府大阪市旭区,生江2-1-29,,06-4253-7799
61,小松洗材,932-0115,富山県小矢部市,津沢550,,0766-61-2130
62,㈱平安 マリエール 飯田衣装室,395-0073,長野県飯田市,羽場坂町2346-1,,0265-24-4122
63,㈱いんべクリーニング,020-0864,岩手県盛岡市,西仙北2-5-3,,019-365-2111
65,エリートクリーニング㈱ 本社,511-0002,三重県桑名市,福島916,,0594-22-4777
66,クリーニングよしだ,461-0003,愛知県名古屋市東区,筒井町4-24,,052-936-5852
68,大竹絹織㈱,192-0041,東京都八王子市,中野上町1-26-3,,042-622-8111
69,オクダ商会,496-8034,愛知県愛西市,二子町小判山210,,0567-37-2243
71,㈱オリエンタルクリーニング,090-0818,北海道北見市,本町5-8-9,,0157-24-4925
73,㈱アスト物流サービス,343-0807,埼玉県越谷市,赤山町5-7-52,,048-962-3905
74,伊藤忠テクスマック㈱,154-0004,東京都世田谷区,太子堂2-16-5,ｻｲﾄｳﾋﾞﾙ 5F,03-5430-7781
76,小田巻 詔之,422-8052,静岡県静岡市駿河区,緑が丘町2-40,,054-282-1688
77,㈲扇屋貸衣裳,526-0037,滋賀県長浜市,高田町14-24,,0749-63-8108
78,イーエヌビーシステム㈱,527-0091,滋賀県東近江市,小脇町2295,,0748-25-0388
79,㈲さんわドライ,694-0041,島根県大田市,長久町長久ﾛ78-1,,0854-82-1680
80,㈱よつやドライクリーニング商会,010-1433,秋田県秋田市,仁井田栄町11-8,,018-839-0211
82,㈱川崎彫刻所,918-8018,福井県福井市,大島町山崎207,,0776-38-3600
83,㈱クレア･アパレル,933-0041,富山県高岡市,城東1-2-10,,0766-22-7111
84,河内機料商店,376-0011,群馬県桐生市,相生町3-172,,0277-54-9325
85,総合商社小塚 小塚義信,921-8003,石川県金沢市,玉鉾町ｲ-24-3,,076-291-1677
86,岡市㈱アトリエ,145-0071,東京都大田区,田園調布1-52-13,,03-3722-2805
88,コスコ㈱,929-0121,石川県能美市,吉原釜屋町甲43,,0761-55-1378
89,㈲加藤直商店,466-0021,愛知県名古屋市昭和区,小坂町1-12,,052-733-1177
90,東洋ランドリー㈱,108-0014,東京都港区,芝4-18-3,JTM-26 1F,03-3451-3251
91,㈲和服の勝木,910-0856,福井県福井市,勝見2-12-13,,0776-26-0100
92,㈲小柳商事,321-0132,栃木県宇都宮市,雀の宮4-8-13,,028-654-0806
93,木村化学産業㈱,164-0011,東京都中野区,中央1-35-1,,03-3363-0721
94,㈱グロッツ･ベッケルト･ジャパン,578-0982,大阪府東大阪市,吉田本町2-3-10,,072-967-1700
96,加納商店,470-0162,愛知県愛知郡東郷町,春木白土1-1213,,052-801-5015
97,㈱クロサキ,771-0138,徳島県徳島市,川内町平石流通団地28,,088-665-1590
98,小宮山工房,948-0006,新潟県十日町市,四日町第3,,025-757-0019
100,㈲協立産業,940-1143,新潟県長岡市,片田町西荒田636,,0258-23-1530
101,㈲クリーン機材商事,379-2313,群馬県みどり市,笠懸町鹿35-8,,0277-76-9560
102,㈲兼六,178-0062,東京都練馬区,大泉町3-35-5,,03-3924-6906
103,㈱光栄産業,950-3304,新潟県新潟市北区,木崎1811-6,,025-386-9332
104,喜吉屋,948-0053,新潟県十日町市,錦町1-20,,025-752-3762
105,染色補正 彩徳,169-0075,東京都新宿区,高田馬場4-19-2,,03-3362-5660
110,きんらん,733-0011,広島県広島市西区,横川町1-6-2,,082-231-4915
111,桂由美フランチャイズ愛媛,790-0002,愛媛県松山市,二番町2-7-13,,089-947-0117
112,㈲幾久鶴,624-0923,京都府舞鶴市,魚屋住吉261-26,,0773-75-1991
115,三洋商事㈱ 本社,371-0845,群馬県前橋市,鳥羽町34-1,,027-253-2215
116,三洋商事㈱ 埼玉支店,362-0062,埼玉県上尾市,泉台1-15-6,,048-775-0861
117,三洋商事㈱ 足利支店,326-0064,栃木県足利市,東砂原後町1049-7,,0284-42-4388
120,三共工業㈱,390-0875,長野県松本市,城西1-3-36,,0263-32-2876
121,㈲山陰サービス,680-0941,鳥取県鳥取市,湖山町北1-553,,0857-28-2788
123,周敏織物㈱,376-0013,群馬県桐生市,広沢町5-1336,,0277-53-3612
124,㈱新菱 本社,950-0863,新潟県新潟市東区,卸新町2-916-11,,025-271-5780
125,㈱新菱 五泉営業所,959-1824,新潟県五泉市,吉沢2-137-1,,0250-43-3478
126,㈱新菱 新発田営業所,957-0056,新潟県新発田市,大栄町4-7-9,,0254-22-4223
127,㈱新菱 加茂営業所,959-1381,新潟県加茂市,新栄町5-7,,0256-52-1205
128,㈱新菱 見附営業所,954-0056,新潟県見附市,南本町2-19-33,,0258-62-1912
129,津山グンゼ㈱,708-0013,岡山県津山市,二宮2200,,0868-28-0112
130,㈲小山ミシン商会,110-0016,東京都台東区,台東2-11-2,,03-3834-0386
131,㈱きものセンター 弘前,036-8014,青森県弘前市,南瓦ケ町1,,0172-33-0011
132,㈱きものセンター 青森,030-0113,青森県青森市,第二問屋町4-1-3,,017-729-2222
133,㈱新菱 郡山営業所,963-8032,福島県郡山市,下亀田1-8-102,,024-953-3448
134,㈱ごとういしょう,493-0005,愛知県一宮市,木曽川町里小牧武蔵野178,,0586-87-0007
135,㈲こばやし,696-0103,島根県邑智郡邑南町,矢上105,,0855-95-0022
136,㈲梶谷ニット工業所,929-1105,石川県かほく市,横山ﾀ139-5,,076-285-2135
137,㈱加喜屋ブライダルハウス,768-0067,香川県観音寺市,坂本町2-10-70,,0875-25-3577
138,㈱神尾機材,442-0843,愛知県豊川市,桜町2-5-10,,0533-84-2380
140,トリヤマ洗機工業,651-0076,兵庫県神戸市中央区,吾妻通5-3-8,,078-231-5451
141,近藤貸衣裳店,830-0062,福岡県久留米市,荒木町白口1547-5,,0942-26-4608
142,㈱ブライサルサロン アカシア,760-0061,香川県高松市,築地町14-10,,087-833-3355
143,㈱ひぜん,849-1322,佐賀県鹿島市,浜町開浦282,,0954-63-3131
145,㈱木戸商事,333-0845,埼玉県川口市,上青木西1-16-2,,048-250-3977
146,㈲クリエイティブ,982-0003,宮城県仙台市太白区,郡山8-20-7,ｸﾞﾛｰﾘｰﾊｲﾂ 2-205号,022-246-0951
148,協栄クリーニング,400-0501,山梨県南巨摩郡富士川町,青柳町536-3,,090-3338-3413
149,㈱せんたくクラブﾞ,406-0022,山梨県笛吹市,石和町山崎133-4,,055-263-8881
150,柏屋染色㈱,984-0012,宮城県仙台市若林区,六丁の目中町17-28,,022-288-0676
152,㈱アクア,662-0074,兵庫県西宮市,石刎町7-12,,079-871-2145
153,加藤加工所,501-0232,岐阜県瑞穂市,野田新田4118-3,,058-260-9500
154,㈱黒川クリーニング社,919-0413,福井県坂井市,春江町随応寺20,,0776-51-0264
155,グンゼ産業㈱ 大阪支店機械部,540-0008,大阪府大阪市中央区,大手前1-7-31,OMﾋﾞﾙ,06-944-2619
156,海渡産業㈱ 札幌,003-0021,北海道札幌市白石区,栄通21-4-5,,011-836-3611
158,㈱エムケーニット,534-0002,大阪府大阪市都島区,大東町2-21-3,,06-6923-7772
159,コキュ,150-0033,東京都渋谷区,猿楽町13-1,,
160,㈱タケザキ,135-0053,東京都江東区,辰巳2-4-4,TND 1F,03-3522-8018
162,㈱シーエル,468-0055,愛知県名古屋市天白区,池場1-1305,,052-803-7641
163,有限会社　秀明堂　本店*禁,690-0044,島根県松江市,浜乃木2-15-40,,0852-23-1031
165,㈱シラカワ 本社,103-0002,東京都中央区,日本橋馬喰町1-13-11,,03-3663-1701
166,㈱シラカワ 足利営業所,326-0333,栃木県足利市,問屋町1177-18,,0284-72-2611
167,㈱シラカワ 一関営業所*閉　2025.11,021-0041,岩手県一関市,赤荻字雲南185-1,,0191-25-2131
168,㈱シラカワ 秋田営業所,010-0802,秋田県秋田市,外旭川字三千刈14-1,,018-864-1121
169,㈱シラカワ 山形営業所,990-0071,山形県山形市,流通センター2-10-7,,0236-33-3993
170,㈱シラカワ 郡山営業所,963-8832,福島県郡山市,山根町5-20,,024-933-0600
171,㈱シラカワ 盛岡営業所,020-0839,岩手県盛岡市,津志田南2-11-53,,019-637-5051
172,㈱シラカワ 諫早営業所,854-0001,長崎県諫早市,福田町1-9,,0957-23-3111
173,㈱シラカワ 笠間営業所,309-1625,茨城県笠間市,来栖140,,02967-2-7555
174,㈱シラカワ 弘前営業所,036-0524,青森県黒石市,緑ケ丘24,,0172-40-2181
175,㈱シラカワ 横手営業所,013-0072,秋田県横手市,卸町1-1,,0182-33-6011
176,㈱シラカワ 水沢営業所,023-0825,岩手県奥州市,水沢台町2-54,,0197-23-3141
177,㈱シラカワ 鷹巣営業所,018-3301,秋田県北秋田市,綴子掛泥道上111-2,,018-662-4711
178,㈱シラカワ 鶴岡営業所,997-0012,山形県鶴岡市,道形字二ツ屋61-4,,0235-23-6911
179,㈱シラカワ 札幌営業所,003-0827,北海道札幌市白石区,菊水元町七条1-6-23,,011-873-6471
181,㈱サンストーン アニエス会津*閉2023.11.30,965-0846,福島県会津若松市,門田町飯寺字村西817,,0242-29-7214
182,㈱SHIND,919-0614,福井県あわら市,伊井11-1-1,,0776-73-2211
183,サンオーシャン㈱,530-0001,大阪府大阪市北区,梅田2-4-34,,06-343-0825
184,鈴木産業㈱,615-8237,京都府京都市西京区,山田中吉見町5-6,,075-392-7577
185,㈲坂井商会,463-0021,愛知県名古屋市守山区,大森1-1603,,052-798-2161
186,ワタベウエディング㈱ 仙台東口店,983-0852,宮城県仙台市宮城野区,榴岡4-1-5,仙台ｶﾞｰﾃﾞﾝﾊﾟﾚｽ内 5F,022-292-3171
188,伸和商事㈱ 加古川工場,675-0057,兵庫県加古川市,東神吉町神吉1181-1,,079-431-4671
189,三京商会,462-0014,愛知県名古屋市北区,楠味鋺ﾏ5-2302,,052-901-8862
190,㈱篠崎衣裳店,327-0831,栃木県佐野市,浅沼町535-3,,0283-23-1122
191,㈲セイコー産業,712-8031,岡山県倉敷市,福田町浦田1502-41,,086-426-6352
192,㈱千昌,335-0011,埼玉県戸田市,下戸田1-15-15,,048-442-2221
194,㈱シラカワ 金沢営業所,920-0056,石川県金沢市,出雲町ｲ448,,076-264-4081
195,内藤ドライ,697-0031,島根県浜田市,紺屋町48,,0855-23-1450
197,渋谷ミシン商会,020-0878,岩手県盛岡市,肴町10-1,,019-651-0100
198,㈱ジョイントプラザマリオ,394-0011,長野県岡谷市,長地権現町3-2-45,,0266-28-8740
200,IMSテクノ㈱ テキスタイル部門,503-2303,岐阜県安八郡神戸町,安次700,,0584-27-4151
201,㈱フェイズ,150-0001,東京都渋谷区,神宮前3-39-9,HILL'S AOYAMA 1F,03-6447-2840
202,㈲鈴屋クリーニング,195-0074,東京都町田市,山崎町1343,,042-792-3557
204,㈱レッジーナミラ,650-0002,兵庫県神戸市中央区,北野町2-8-9,異人館倶楽部ﾊﾟｰﾄⅡ 3F,078-855-8188
206,㈱シャンデール,630-8106,奈良県奈良市,佐保台西町196,,0742-72-1250
207,ひかり商事㈱,910-0854,福井県福井市,御幸4-21-10,,0776-24-3111
208,㈲H&F,561-0841,大阪府豊中市,名神口1-8-2,,06-6867-6161
209,セーレン㈱,918-8003,福井県福井市,毛矢1-10-1,,0776-35-2121
210,㈱シスト長野,380-0948,長野県長野市,差出南2-16-17,,026-228-5987
211,㈱サン･ブライダル,332-0012,埼玉県川口市,本町4-5-26,ｷｬﾒﾘｱ110,048-224-8228
212,今井　健司,153-0051,東京都目黒区,上目黒2-47-7,,03-3713-5612
213,㈱制服のフジ,737-0046,広島県呉市,中通1-1-21,,0823-21-7731
214,コウノドライ 高野和之,956-0101,新潟県新潟市秋葉区,小須戸1045,,0250-38-2757
215,㈱マリエールウィル高崎 衣裳室,370-0069,群馬県高崎市,飯塚町1357-6,,027-363-2241
216,㈱ベルセレマ衣裳室 高岡,933-0902,富山県高岡市,向野町3-5-54,,0766-22-5128
217,齋藤機料店,376-0002,群馬県桐生市,境野町5-350,,0277-44-4825
218,㈱昭和商事,537-0012,大阪府大阪市東成区,大今里2-33-4,,06-6975-8844
219,ジェイ･エス･スクリーン㈱,918-8231,福井県福井市,問屋町1-207,,0776-26-2454
220,㈲芹澤ミシン商会,959-1834,新潟県五泉市,木越1895-1,,0250-43-2451
221,横田　和秀,103-0005,東京都中央区,日本橋久松町5-14,日伸ﾊｲﾂ,
222,㈱シャンテ,460-0003,愛知県名古屋市中区,錦3-21-21,,052-957-7655
223,サイトウ商事㈱,520-0065,滋賀県大津市,稲葉台29-8,,077-526-4125
224,SE 洗機,669-3128,兵庫県丹波市,山南町金屋282-1,,079-577-2048
225,㈱花みやび佳,920-0853,石川県金沢市,本町1-5-1,ﾘﾌｧｰﾚ1F,076-233-3064
226,㈱エルベ,711-0936,岡山県倉敷市,児島柳田町584,,086-473-4811
227,㈲三和化学工業所,921-8841,石川県野々市市,郷町2-141,,076-248-5205
228,㈲シルバークリーナース,080-0111,北海道河東郡音更町,木野大通東13-2-44,,0155-31-2033
230,㈱ベルセレマ,920-0364,石川県金沢市,松島1-30,,076-240-1105
231,㈱タケダレース,910-0831,福井県福井市,若栄町601,,0776-54-3440
232,津田レース㈱,910-0245,福井県坂井市,丸岡町谷町2-2,,0776-66-2515ｶｲ
233,スタジオ フォトキッズ パルル,064-0809,北海道札幌市中央区,南九条西15,,011-563-5633
234,㈱東亜染織,670-0092,兵庫県姫路市,新在家本町5-1-24,,079-292-0601
235,中央精機工業㈱,933-0838,富山県高岡市,北島428-2,,0766-25-1330
236,㈱タケモト,939-1104,富山県高岡市,戸出町3-5-12,,0766-63-2358
237,多田薬品工業㈱,933-0958,富山県高岡市,波岡188番地,,0766-24-7300
238,東洋クリーン販売㈱,502-0935,岐阜県岐阜市,萱場東町2-28,,058-232-3651
239,㈱デプロ,918-8003,福井県福井市,毛矢1-10-1,,0776-35-2118
240,渡海商事,919-0463,福井県坂井市,春江町江留上昭和120-2,,0776-51-2536
241,㈱南愛知冠婚葬祭互助会,475-0925,愛知県半田市,宮本町6-215-1,,0569-21-2222
242,オークス㈱ アンベール,939-8211,富山県富山市,二口町1-8-10,,
243,㈲竹内商会,346-0007,埼玉県久喜市,久喜北2-11-1,,0480-21-0471
244,アップルウエディングストーリー,321-0952,栃木県宇都宮市,泉が丘3-30-11,,028-662-4825
245,㈲中日,488-0822,愛知県尾張旭市,緑町緑ケ丘123-58,,0561-53-3346
246,㈲敦賀屋,910-0142,福井県福井市,上森田1-405,,0776-56-0245
247,㈱中部洗機 本社,416-0946,静岡県富士市,五貫島321,,0545-64-6700
248,㈱中部洗機 静岡営業所,420-0911,静岡県静岡市葵区,瀬名1-13-24,,054-261-1675
249,㈱中部洗機 沼津営業所,410-0012,静岡県沼津市,岡一色18-3,,055-924-8462
250,㈱太成 本社,130-0025,東京都墨田区,千歳2-13-4,跳豊ﾋﾞﾙ2F,03-3634-1826
251,㈱太成 横手営業所,013-0064,秋田県横手市,赤坂字荒沼129-2,,0182-32-8156
252,㈱太成 弘前ＣＰ,038-3644,青森県北津軽郡板柳町,横沢字花岡67,,0172-79-1505
253,㈲大栄ミシン工業,920-0015,石川県金沢市,諸江町上丁551-2,,076-262-6922
254,㈱ダイヤ服飾 五泉支店,959-1837,新潟県五泉市,寺沢1-5-7,,0250-42-0101
255,㈲ドルチェ,515-0075,三重県松阪市,新町565,,0598-21-0345
256,㈱トーヨー特機 浜松本社,433-8111,静岡県浜松市中央区,葵西5-14-10,,053-439-5755
257,㈲田崎染工,862-0950,熊本県熊本市中央区,水前寺1-18-23,,096-384-2266
259,十倉衣裳店,675-0065,兵庫県加古川市,加古川町篠原町3-1-1,,079-423-2882
260,タカラ産業㈱,520-1501,滋賀県高島市,新旭町旭714-6,,0740-25-2569
261,㈲茶堂,715-0019,岡山県井原市,井原町390-2,,0866-62-4241
262,㈱たかさわ,957-0056,新潟県新発田市,大栄町1-2-3,,0254-22-4238
263,徳用しみ抜き店,920-0831,石川県金沢市,東山3-13-1,,076-252-9085
266,帝国繊維㈱ 鹿沼工場 生産課,322-0032,栃木県鹿沼市,府所本町197,,0289-62-2121
267,㈱ツーエム化成,579-8005,大阪府東大阪市,元町2-3-60,,072-988-0771
268,太洋商事㈱,929-0115,石川県能美市,下ノ江町ﾎ88-1,,0761-55-8138
269,中国アイエイ㈲,738-0042,広島県廿日市市,地御前2-5-25,,0829-36-5603
270,ときめきブライサルサロン㈱,910-0016,福井県福井市,大宮3-69,,0776-21-5011
271,轟産業㈱ 浜松出張所,430-0807,静岡県浜松市中区,佐藤1-31-15,,053-462-6771
272,㈱タグチ,494-0002,愛知県一宮市,篭屋2-1-16,,0586-45-3316
273,㈱多田商店,910-0134,福井県福井市,上野本町2-9-1,,0776-56-3939
274,㈲種産業,931-8332,富山県富山市,森821,,076-437-9214
275,㈱タケダ,979-0201,福島県いわき市,四倉町字西2-4-2,,0246-32-2683
276,㈱東宏商会,104-0041,東京都中央区,新富1-13-23,ﾐﾂﾔ第五ﾋﾞﾙ,03-3555-8160
277,ティー･エフ･シー㈱ 亀島工場,453-0012,愛知県名古屋市中村区,井深町1-1,新名古屋ｾﾝﾀｰ本陣街121号,070-6975-9979
278,田中紋屋,915-0823,福井県越前市,本町1-12,,0778-24-2356
279,㈱第一ドライ,379-0116,群馬県安中市,安中4-11-30,,027-382-1381
282,㈱タカハシ,791-8016,愛媛県松山市,久万ノ台284-4,,089-926-2533
283,東機㈱,921-8025,石川県金沢市,増泉2-7-37,,076-247-2820
285,㈱同仁社,960-0405,福島県伊達市,一本木67,,024-584-2191
286,ブランピュール敦賀店,914-0811,福井県敦賀市,中央町1丁目5-5,MEGAﾄﾞﾝ･ｷﾎｰﾃUNY敦賀店2F,0770-25-8600
287,エベレストクリーナーズ,152-0004,東京都目黒区,鷹番2-4-7,,03-3713-9183
288,アクロストランスポート㈱,243-0411,神奈川県海老名市,大谷3905,海老名ANｾﾝﾀｰ 1F,046-232-3747
290,㈱千葉ソーイング,299-1112,千葉県君津市,泉163-7,,0439-32-5022
292,マリアージュ㈱東亜衣裳,491-0804,愛知県一宮市,千秋町佐野72,,0586-76-0233
293,東北かながわ㈱ 岩手営業所,024-0051,岩手県北上市,相去町相去61-2,,0197-71-2211
294,㈱ｸﾗｳﾃﾞｨｱ ｺｽﾁｭｰﾑｻｰﾋﾞｽ,983-0834,宮城県仙台市宮城野区,松岡町57-2,,022-299-4663
296,㈱宝衣裳,500-8267,岐阜県岐阜市,茜部寺屋敷3-324,,058-274-5839
298,㈱大地会館,996-0023,山形県新庄市,沖の町5-64,,0233-23-1151
299,田中刺繍産業㈱,602-8058,京都府京都市上京区,東堀川通上長者町上る2-31,,075-414-2271
301,㈱日商,195-0064,東京都町田市,小野路町3177-1,,042-860-2903
302,ナゴヤホールセール㈱,462-0063,愛知県名古屋市北区,丸新町349,,052-901-6400
303,日本スリーナック㈱,112-0002,東京都文京区,小石川5-16-10,,03-3811-2020
304,㈱プロフィット,146-0092,東京都大田区,下丸子1-12-4 3F,,03-3759-7501
305,クロス工業㈱ 能登工場,927-1217,石川県珠洲市,上戸町南方ﾍ42,,0768-82-1288
306,日本彫刻㈱ 福井,918-8012,福井県福井市,花堂北1-15-25,,0776-34-1513
307,㈱日本衣裳,617-0826,京都府長岡京市,開田4-33-30,,075-953-0923
308,㈱二条丸八 つくば工場,300-2736,茨城県常総市,孫兵ヱ新田169-2,,0297-43-8100
310,㈱ナガサキ,390-0813,長野県松本市,埋橋1-6-2,,0263-32-1248
311,新栄物流㈱,655-0852,兵庫県神戸市垂水区,名谷町横尾1787-1,,078-707-2327
312,長倉プレス,311-3151,茨城県東茨城郡茨城町,木部922-3,,029-292-8603
313,ホウジツ㈱,912-0051,福井県大野市,日吉町5-21,,0779-66-2192
316,西野染色補正店,920-0853,石川県金沢市,本町2-4-26,,076-222-7158
317,㈱名古屋機料店,460-0008,愛知県名古屋市中区,栄1-9-22,,052-231-6526
318,ナスコ㈱,534-0021,大阪府大阪市都島区,都島本通4-17-8,,06-6923-3810
319,能登サイジング㈱,925-0623,石川県羽咋市,本江町ｶ部28-1,登録情報要確認,07672-6-0551
320,にしきや 本店,680-0061,鳥取県鳥取市,立川町6-612,,0857-22-4505
321,㈱平安 エスタシオン･プラザ平安,410-0022,静岡県沼津市,大岡2170-1,,055-929-7770
322,信和クリーニング,490-1133,愛知県海部郡大治町,八ツ屋山畔70,,052-431-5776
323,㈲西陣,794-0802,愛媛県今治市,南鳥生町3-2-19,,0898-25-2330
324,七塚女性会 衣裳室,929-1173,石川県かほく市,遠塚ﾛ52-10,かほく市七塚健康福祉ｾﾝﾀｰ2F,076-285-1658
325,ニチセン工業㈱,919-0461,福井県坂井市,春江町江留上緑13-1,,0776-51-1365
328,㈱西内商店,770-0868,徳島県徳島市,福島1-7-24,,088-622-5522
329,㈱平安閣 美翔苑 四間道,451-0042,愛知県名古屋市西区,那古野1-34-3,,052-462-8073
330,中村商会,880-0841,宮崎県宮崎市,吉村町大町甲1981,,0985-25-3451
331,橘角,455-0811,愛知県名古屋市港区,善進町2-30,,052-381-5631
334,ヤマエンタープライズ㈱,810-0021,福岡県福岡市中央区,今泉1-22-20,ｱﾍﾞﾆｭｰ天神ﾋﾞﾙ 4F,092-722-6905
335,㈱野口染舗,003-0808,北海道札幌市白石区,菊水八条2-2-9,,011-811-3816
336,㈲ラ･ヴィ錦衣裳,426-0018,静岡県藤枝市,本町1-4-32,,054-643-4522
337,西出商会,597-0071,大阪府貝塚市,加神1-24-6,,072-432-4044
338,㈱ニッセン 酒田支店,998-0006,山形県酒田市,ゆたか3丁目7-9,,0234-25-1853
339,㈲名古屋丸八互助会,460-0007,愛知県名古屋市中区,新栄2-19-5,,052-251-0811
340,新川産業㈱ 中田様,930-0362,富山県中新川郡上市町,稗田3,,076-472-1122
343,㈱ニッセン 行田支店,361-0021,埼玉県行田市,富士見町2-1-6,,048-554-4481
344,野村被服㈱,797-1212,愛媛県西予市,野村町野村1-439,,0894-72-0478
345,アイナックス稲本㈱ 東北支店,024-0022,岩手県北上市,黒沢尻3-2-5,,0197-65-7051
346,㈱根本クリーニング商会,270-0132,千葉県流山市,駒木508-4,,04-7155-0030
347,㈱橋場グランド社,166-0012,東京都杉並区,和田1-10-4,,03-3382-6741
348,㈱ベルコ,085-0034,北海道釧路市,白金町6-1,,0154-31-1200
349,富士総業㈱,373-0806,群馬県太田市,龍舞町998,,0276-47-1251
350,福井特殊硝子㈲,910-0004,福井県福井市,宝永1-9-7,,0776-21-2660
352,林機材㈱,910-0004,福井県福井市,宝永1-32-10,,0776-21-4885
354,ブロン㈱,232-0064,神奈川県横浜市南区,別所1-15-20,,045-712-3091
356,㈱ハヤカワ,910-0001,福井県福井市,大願寺1-6-3,,0776-23-0037
357,堀内機料㈲,193-0812,東京都八王子市,諏訪町298-12,,0426-51-4566
358,㈱日の出衣裳店 マリーマリエ,918-8023,福井県福井市,西谷1-1220,,0776-33-2272
359,ヒット工業㈱,915-0811,福井県越前市,本多3-9-19,,0778-23-2222
